street_address,street_number,street_name,suburb,postcode,full_address,council,latitude,longitude,socio_economic_status,remoteness_level,validation_source
250 Brighton Road,250,Brighton Road,ADELAIDE,5000,"250 Brighton Road, Somerton Park South Australia 5044, Australia",CITY OF ADELAIDE,-34.999407,138.52202,4,Major Cities of Australia,mapbox_api
731 Queen Street,731,Queen Street,ADELAIDE,5000,"731 Queen Street, Norwood South Australia 5067, Australia",CITY OF ADELAIDE,-34.923952,138.639002,4,Major Cities of Australia,mapbox_api
Whitmore Square,257,Whitmore Square,ADELAIDE,5000,"Whitmore Square, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.932853,138.593504,4,Major Cities of Australia,mapbox_api
653 Waymouth Street,653,Waymouth Street,ADELAIDE,5000,"653 Waymouth Street, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.926308,138.589085,4,Major Cities of Australia,mapbox_api
Palmer Place,972,Palmer Place,ADELAIDE,5000,"Palmer Place, North Adelaide South Australia 5006, Australia",CITY OF ADELAIDE,-34.910956,138.595093,4,Major Cities of Australia,mapbox_api
964 Franklin Street,964,Franklin Street,ADELAIDE,5000,"964 Franklin Street, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.927663,138.589728,4,Major Cities of Australia,mapbox_api
501 Churchill Road,501,Churchill Road,ADELAIDE,5000,"501 Churchill Road, Kilburn South Australia 5084, Australia",CITY OF ADELAIDE,-34.854878,138.583093,4,Major Cities of Australia,mapbox_api
99 Whitmore Square,99,Whitmore Square,ADELAIDE,5000,"99 Whitmore Square, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.932359,138.594894,4,Major Cities of Australia,mapbox_api
590 Light Square,590,Light Square,ADELAIDE,5000,"590 Light Square, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.925291,138.594281,4,Major Cities of Australia,mapbox_api
26 Churchill Road,26,Churchill Road,VICTOR HARBOR,5211,"26 Churchill Road, Victor Harbor South Australia 5211, Australia",CITY OF VICTOR HARBOR,-35.552853,138.614574,3,Inner Regional Australia,mapbox_api
81 High Street,81,High Street,VICTOR HARBOR,5211,"81 High Street, Victor Harbor South Australia 5211, Australia",CITY OF VICTOR HARBOR,-35.546329,138.623918,3,Inner Regional Australia,mapbox_api
Palmer Place,721,Palmer Place,ADELAIDE,5000,"Palmer Place, North Adelaide South Australia 5006, Australia",CITY OF ADELAIDE,-34.910956,138.595093,4,Major Cities of Australia,mapbox_api
930 Glen Osmond Road,930,Glen Osmond Road,ADELAIDE,5000,"930 Glen Osmond Road, Parkside South Australia 5063, Australia",CITY OF ADELAIDE,-34.945929,138.624415,4,Major Cities of Australia,mapbox_api
908 Main Street,908,Main Street,ADELAIDE,5000,"908 Main Street, Mawson Lakes South Australia 5095, Australia",CITY OF ADELAIDE,-34.808377,138.616965,4,Major Cities of Australia,mapbox_api
868 Magill Road,868,Magill Road,ADELAIDE,5000,"868 Magill Road, Beulah Park South Australia 5067, Australia",CITY OF ADELAIDE,-34.914571,138.645265,4,Major Cities of Australia,mapbox_api
756 Pirie Street,756,Pirie Street,ADELAIDE,5000,"756 Pirie Street, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.925152,138.611748,4,Major Cities of Australia,mapbox_api
899 Wellington Square,899,Wellington Square,ADELAIDE,5000,"899 Wellington Square, North Adelaide South Australia 5006, Australia",CITY OF ADELAIDE,-34.907062,138.590625,4,Major Cities of Australia,mapbox_api
338 Wellington Square,338,Wellington Square,ADELAIDE,5000,"338 Wellington Square, North Adelaide South Australia 5006, Australia",CITY OF ADELAIDE,-34.906265,138.5912,4,Major Cities of Australia,mapbox_api
552 Lower North East Road,552,Lower North East Road,ADELAIDE,5000,"552 Lower North East Road, Campbelltown South Australia 5074, Australia",CITY OF ADELAIDE,-34.884647,138.659919,4,Major Cities of Australia,mapbox_api
257 Wellington Square,257,Wellington Square,ADELAIDE,5000,"257 Wellington Square, North Adelaide South Australia 5006, Australia",CITY OF ADELAIDE,-34.907145,138.590657,4,Major Cities of Australia,mapbox_api
890 Grand Junction Road,890,Grand Junction Road,ADELAIDE,5000,"890 Grand Junction Road, Gilles Plains South Australia 5086, Australia",CITY OF ADELAIDE,-34.84532,138.665007,4,Major Cities of Australia,mapbox_api
344 Pirie Street,344,Pirie Street,ADELAIDE,5000,"344 Pirie Street, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.925152,138.611751,4,Major Cities of Australia,mapbox_api
242 Pulteney Street,242,Pulteney Street,ADELAIDE,5000,"242 Pulteney Street, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.928543,138.606312,4,Major Cities of Australia,mapbox_api
515 Brighton Road,515,Brighton Road,ADELAIDE,5000,"515 Brighton Road, Brighton South Australia 5048, Australia",CITY OF ADELAIDE,-35.021141,138.522983,4,Major Cities of Australia,mapbox_api
428 Henley Beach Road,428,Henley Beach Road,ADELAIDE,5000,"428 Henley Beach Road, Lockleys South Australia 5032, Australia",CITY OF ADELAIDE,-34.925822,138.530344,4,Major Cities of Australia,mapbox_api
42 Grand Junction Road,42,Grand Junction Road,ADELAIDE,5000,"42 Grand Junction Road, Kilburn South Australia 5084, Australia",CITY OF ADELAIDE,-34.849662,138.583927,4,Major Cities of Australia,mapbox_api
437 Torrens Road,437,Torrens Road,ADELAIDE,5000,"437 Torrens Road, Woodville Park South Australia 5011, Australia",CITY OF ADELAIDE,-34.876604,138.550283,4,Major Cities of Australia,mapbox_api
Palmer Place,444,Palmer Place,ADELAIDE,5000,"Palmer Place, North Adelaide South Australia 5006, Australia",CITY OF ADELAIDE,-34.910956,138.595093,4,Major Cities of Australia,mapbox_api
407 Churchill Road,407,Churchill Road,ADELAIDE,5000,"407 Churchill Road, Kilburn South Australia 5084, Australia",CITY OF ADELAIDE,-34.861888,138.583659,4,Major Cities of Australia,mapbox_api
221 Cross Road,221,Cross Road,ADELAIDE,5000,"221 Cross Road, Cumberland Park South Australia 5041, Australia",CITY OF ADELAIDE,-34.966466,138.58913,4,Major Cities of Australia,mapbox_api
574 Waymouth Street,574,Waymouth Street,ADELAIDE,5000,"574 Waymouth Street, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.926281,138.589634,4,Major Cities of Australia,mapbox_api
434 Waymouth Street,434,Waymouth Street,ADELAIDE,5000,"434 Waymouth Street, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.926281,138.589635,4,Major Cities of Australia,mapbox_api
574 Prospect Road,574,Prospect Road,ADELAIDE,5000,"574 Prospect Road, Kilburn South Australia 5084, Australia",CITY OF ADELAIDE,-34.852022,138.590868,4,Major Cities of Australia,mapbox_api
804 Prospect Road,804,Prospect Road,ADELAIDE,5000,"804 Prospect Road, North Adelaide South Australia 5006, Australia",CITY OF ADELAIDE,-34.899925,138.594509,4,Major Cities of Australia,mapbox_api
311 Morphett Street,311,Morphett Street,ADELAIDE,5000,"311 Morphett Street, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.931479,138.593774,4,Major Cities of Australia,mapbox_api
686 Goodwood Road,686,Goodwood Road,ADELAIDE,5000,"686 Goodwood Road, Daw Park South Australia 5041, Australia",CITY OF ADELAIDE,-34.988919,138.592145,4,Major Cities of Australia,mapbox_api
Palmer Place,232,Palmer Place,ADELAIDE,5000,"Palmer Place, North Adelaide South Australia 5006, Australia",CITY OF ADELAIDE,-34.910956,138.595093,4,Major Cities of Australia,mapbox_api
730 Hindley Street,730,Hindley Street,ADELAIDE,5000,"730 Hindley Street, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.923454,138.590153,4,Major Cities of Australia,mapbox_api
849 Port Road,849,Port Road,ADELAIDE,5000,"849 Port Road, Woodville South Australia 5011, Australia",CITY OF ADELAIDE,-34.876852,138.530288,4,Major Cities of Australia,mapbox_api
880 Main North Road,880,Main North Road,ADELAIDE,5000,"880 Main North Road, Pooraka South Australia 5095, Australia",CITY OF ADELAIDE,-34.826523,138.615098,4,Major Cities of Australia,mapbox_api
607 Currie Street,607,Currie Street,ADELAIDE,5000,"607 Currie Street, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.924643,138.595534,4,Major Cities of Australia,mapbox_api
467 Prospect Road,467,Prospect Road,ADELAIDE,5000,"467 Prospect Road, North Adelaide South Australia 5006, Australia",CITY OF ADELAIDE,-34.899116,138.594732,4,Major Cities of Australia,mapbox_api
470 Pulteney Street,470,Pulteney Street,ADELAIDE,5000,"470 Pulteney Street, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.93491,138.606706,4,Major Cities of Australia,mapbox_api
432 Prospect Road,432,Prospect Road,ADELAIDE,5000,"432 Prospect Road, Kilburn South Australia 5084, Australia",CITY OF ADELAIDE,-34.860991,138.591967,4,Major Cities of Australia,mapbox_api
127 Light Square,127,Light Square,ADELAIDE,5000,"127 Light Square, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.925627,138.593017,4,Major Cities of Australia,mapbox_api
317 Churchill Road,317,Churchill Road,ADELAIDE,5000,"317 Churchill Road, Prospect South Australia 5082, Australia",CITY OF ADELAIDE,-34.891258,138.585311,4,Major Cities of Australia,mapbox_api
461 Waymouth Street,461,Waymouth Street,ADELAIDE,5000,"461 Waymouth Street, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.926308,138.589086,4,Major Cities of Australia,mapbox_api
245 Rundle Street,245,Rundle Street,ADELAIDE,5000,"245 Rundle Street, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.922625,138.606799,4,Major Cities of Australia,mapbox_api
70 George Street,70,George Street,ADELAIDE,5000,"70 George Street, Glenelg North South Australia 5045, Australia",CITY OF ADELAIDE,-34.973866,138.514328,4,Major Cities of Australia,mapbox_api
827 Currie Street,827,Currie Street,ADELAIDE,5000,"827 Currie Street, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.924642,138.595551,4,Major Cities of Australia,mapbox_api
31 Cross Road,31,Cross Road,ADELAIDE,5000,"31 Cross Road, Kingswood South Australia 5062, Australia",CITY OF ADELAIDE,-34.965537,138.613565,4,Major Cities of Australia,mapbox_api
King Street,230,King Street,VICTOR HARBOR,5211,"King Street, Victor Harbor South Australia 5211, Australia",CITY OF VICTOR HARBOR,-35.556928,138.618675,3,Inner Regional Australia,mapbox_api
356 Goodwood Road,356,Goodwood Road,ADELAIDE,5000,"356 Goodwood Road, Cumberland Park South Australia 5041, Australia",CITY OF ADELAIDE,-34.970319,138.591068,4,Major Cities of Australia,mapbox_api
525 Goodwood Road,525,Goodwood Road,ADELAIDE,5000,"525 Goodwood Road, Cumberland Park South Australia 5041, Australia",CITY OF ADELAIDE,-34.970188,138.591058,4,Major Cities of Australia,mapbox_api
85 Main Street,85,Main Street,ADELAIDE,5000,"85 Main Street, Eastwood South Australia 5063, Australia",CITY OF ADELAIDE,-34.944324,138.624177,4,Major Cities of Australia,mapbox_api
Portrush Road,938,Portrush Road,ADELAIDE,5000,"Portrush Road, Glen Osmond South Australia 5064, Australia",CITY OF ADELAIDE,-34.956519,138.648198,4,Major Cities of Australia,mapbox_api
Queen Street,611,Queen Street,ADELAIDE,5000,"Queen Street, Glenelg North South Australia 5045, Australia",CITY OF ADELAIDE,-34.974879,138.515072,4,Major Cities of Australia,mapbox_api
147 Palmer Place,147,Palmer Place,ADELAIDE,5000,"147 Palmer Place, North Adelaide South Australia 5006, Australia",CITY OF ADELAIDE,-34.909829,138.595278,4,Major Cities of Australia,mapbox_api
512 Prospect Road,512,Prospect Road,ADELAIDE,5000,"512 Prospect Road, Kilburn South Australia 5084, Australia",CITY OF ADELAIDE,-34.856721,138.591632,4,Major Cities of Australia,mapbox_api
907 Flinders Street,907,Flinders Street,ADELAIDE,5000,"907 Flinders Street, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.92664,138.610284,4,Major Cities of Australia,mapbox_api
989 Grenfell Street,989,Grenfell Street,ADELAIDE,5000,"989 Grenfell Street, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.923979,138.608695,4,Major Cities of Australia,mapbox_api
236 Queen Street,236,Queen Street,ADELAIDE,5000,"236 Queen Street, Alberton South Australia 5014, Australia",CITY OF ADELAIDE,-34.864116,138.517827,4,Major Cities of Australia,mapbox_api
229 Pirie Street,229,Pirie Street,ADELAIDE,5000,"229 Pirie Street, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.925625,138.602478,4,Major Cities of Australia,mapbox_api
941 Port Road,941,Port Road,ADELAIDE,5000,"941 Port Road, Cheltenham South Australia 5014, Australia",CITY OF ADELAIDE,-34.871959,138.522898,4,Major Cities of Australia,mapbox_api
824 Main North Road,824,Main North Road,ADELAIDE,5000,"824 Main North Road, Pooraka South Australia 5095, Australia",CITY OF ADELAIDE,-34.823448,138.619094,4,Major Cities of Australia,mapbox_api
275 Hindley Street,275,Hindley Street,ADELAIDE,5000,"275 Hindley Street, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.92348,138.589647,4,Major Cities of Australia,mapbox_api
382 Magill Road,382,Magill Road,ADELAIDE,5000,"382 Magill Road, Kensington Park South Australia 5068, Australia",CITY OF ADELAIDE,-34.914317,138.656459,4,Major Cities of Australia,mapbox_api
131 West Terrace,131,West Terrace,ADELAIDE,5000,"131 West Terrace, Kensington Gardens South Australia 5068, Australia",CITY OF ADELAIDE,-34.92536,138.661939,4,Major Cities of Australia,mapbox_api
72 Goodwood Road,72,Goodwood Road,ADELAIDE,5000,"72 Goodwood Road, Cumberland Park South Australia 5041, Australia",CITY OF ADELAIDE,-34.971284,138.591141,4,Major Cities of Australia,mapbox_api
Queen Street,944,Queen Street,ADELAIDE,5000,"Queen Street, Glenelg North South Australia 5045, Australia",CITY OF ADELAIDE,-34.974879,138.515072,4,Major Cities of Australia,mapbox_api
575 Flinders Street,575,Flinders Street,ADELAIDE,5000,"575 Flinders Street, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.92664,138.61028,4,Major Cities of Australia,mapbox_api
Portrush Road,789,Portrush Road,ADELAIDE,5000,"Portrush Road, Glen Osmond South Australia 5064, Australia",CITY OF ADELAIDE,-34.956519,138.648198,4,Major Cities of Australia,mapbox_api
924 Magill Road,924,Magill Road,ADELAIDE,5000,"924 Magill Road, Beulah Park South Australia 5067, Australia",CITY OF ADELAIDE,-34.914571,138.645273,4,Major Cities of Australia,mapbox_api
51 Adelaide Street,51,Adelaide Street,ADELAIDE,5000,"51 Adelaide Street, Maylands South Australia 5069, Australia",CITY OF ADELAIDE,-34.910219,138.638951,4,Major Cities of Australia,mapbox_api
806 Cross Road,806,Cross Road,ADELAIDE,5000,"806 Cross Road, Malvern South Australia 5061, Australia",CITY OF ADELAIDE,-34.965139,138.613714,4,Major Cities of Australia,mapbox_api
270 Elizabeth Street,270,Elizabeth Street,MURRAY BRIDGE,5253,"270 Elizabeth Street, Murray Bridge South Australia 5253, Australia",THE RURAL CITY OF MURRAY BRIDGE,-35.118187,139.263288,2,Inner Regional Australia,mapbox_api
226 Flinders Street,226,Flinders Street,ADELAIDE,5000,"226 Flinders Street, Kent Town South Australia 5067, Australia",CITY OF ADELAIDE,-34.922065,138.622692,4,Major Cities of Australia,mapbox_api
897 Victoria Street,897,Victoria Street,ADELAIDE,5000,"897 Victoria Street, Payneham South Australia 5070, Australia",CITY OF ADELAIDE,-34.899645,138.636336,4,Major Cities of Australia,mapbox_api
55 Marion Road,55,Marion Road,ADELAIDE,5000,"55 Marion Road, Torrensville South Australia 5031, Australia",CITY OF ADELAIDE,-34.929325,138.552548,4,Major Cities of Australia,mapbox_api
588 Lower North East Road,588,Lower North East Road,ADELAIDE,5000,"588 Lower North East Road, Campbelltown South Australia 5074, Australia",CITY OF ADELAIDE,-34.880909,138.661959,4,Major Cities of Australia,mapbox_api
747 Grenfell Street,747,Grenfell Street,ADELAIDE,5000,"747 Grenfell Street, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.923979,138.608693,4,Major Cities of Australia,mapbox_api
887 Prospect Road,887,Prospect Road,ADELAIDE,5000,"887 Prospect Road, Kilburn South Australia 5084, Australia",CITY OF ADELAIDE,-34.857527,138.592003,4,Major Cities of Australia,mapbox_api
899 Elizabeth Street,899,Elizabeth Street,MURRAY BRIDGE,5253,"899 Elizabeth Street, Murray Bridge South Australia 5253, Australia",THE RURAL CITY OF MURRAY BRIDGE,-35.118245,139.263227,2,Inner Regional Australia,mapbox_api
368 Grand Junction Road,368,Grand Junction Road,ADELAIDE,5000,"368 Grand Junction Road, Mansfield Park South Australia 5012, Australia",CITY OF ADELAIDE,-34.850893,138.54697,4,Major Cities of Australia,mapbox_api
365 Waymouth Street,365,Waymouth Street,ADELAIDE,5000,"365 Waymouth Street, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.926308,138.589086,4,Major Cities of Australia,mapbox_api
882 Grenfell Street,882,Grenfell Street,ADELAIDE,5000,"882 Grenfell Street, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.923849,138.609408,4,Major Cities of Australia,mapbox_api
172 Franklin Street,172,Franklin Street,ADELAIDE,5000,"172 Franklin Street, Sturt South Australia 5047, Australia",CITY OF ADELAIDE,-35.023589,138.554783,4,Major Cities of Australia,mapbox_api
83 Port Road,83,Port Road,ADELAIDE,5000,"83 Port Road, Thebarton South Australia 5031, Australia",CITY OF ADELAIDE,-34.91278,138.5776,4,Major Cities of Australia,mapbox_api
Upper Sturt Road,975,Upper Sturt Road,ADELAIDE,5000,"Upper Sturt Road, Belair South Australia 5052, Australia",CITY OF ADELAIDE,-34.999194,138.632515,4,Major Cities of Australia,mapbox_api
86 Grand Junction Road,86,Grand Junction Road,ADELAIDE,5000,"86 Grand Junction Road, Gepps Cross South Australia 5094, Australia",CITY OF ADELAIDE,-34.848246,138.596261,4,Major Cities of Australia,mapbox_api
South Terrace,829,South Terrace,ADELAIDE,5000,"South Terrace, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.935572,138.596249,4,Major Cities of Australia,mapbox_api
19 King Street,19,King Street,ADELAIDE,5000,"19 King Street, Glenelg North South Australia 5045, Australia",CITY OF ADELAIDE,-34.9718,138.512063,4,Major Cities of Australia,mapbox_api
863 Magill Road,863,Magill Road,ADELAIDE,5000,"863 Magill Road, Adelaide South Australia 5069, Australia",CITY OF ADELAIDE,-34.9151,138.634282,4,Major Cities of Australia,mapbox_api
544 North Terrace,544,North Terrace,ADELAIDE,5000,"544 North Terrace, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.921258,138.603944,4,Major Cities of Australia,mapbox_api
128 Portrush Road,128,Portrush Road,ADELAIDE,5000,"128 Portrush Road, Payneham South South Australia 5070, Australia",CITY OF ADELAIDE,-34.906528,138.640293,4,Major Cities of Australia,mapbox_api
334 Hindley Street,334,Hindley Street,ADELAIDE,5000,"334 Hindley Street, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.923454,138.590154,4,Major Cities of Australia,mapbox_api
Church Street,551,Church Street,ADELAIDE,5000,"Church Street, Glenelg South South Australia 5045, Australia",CITY OF ADELAIDE,-34.991075,138.515159,4,Major Cities of Australia,mapbox_api
888 Port Road,888,Port Road,ADELAIDE,5000,"888 Port Road, Woodville South South Australia 5011, Australia",CITY OF ADELAIDE,-34.880126,138.533241,4,Major Cities of Australia,mapbox_api
39 Carrington Street,39,Carrington Street,ADELAIDE,5000,"39 Carrington Street, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.931713,138.601745,4,Major Cities of Australia,mapbox_api
649 Grand Junction Road,649,Grand Junction Road,ADELAIDE,5000,"649 Grand Junction Road, Gepps Cross South Australia 5094, Australia",CITY OF ADELAIDE,-34.847506,138.605609,4,Major Cities of Australia,mapbox_api
115 George Street,115,George Street,ADELAIDE,5000,"115 George Street, Marion South Australia 5043, Australia",CITY OF ADELAIDE,-35.009065,138.554924,4,Major Cities of Australia,mapbox_api
709 Torrens Road,709,Torrens Road,ADELAIDE,5000,"709 Torrens Road, Renown Park South Australia 5008, Australia",CITY OF ADELAIDE,-34.895391,138.581777,4,Major Cities of Australia,mapbox_api
217 Flinders Street,217,Flinders Street,ADELAIDE,5000,"217 Flinders Street, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.927035,138.608797,4,Major Cities of Australia,mapbox_api
671 Gawler Place,671,Gawler Place,ADELAIDE,5000,"671 Gawler Place, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.92517,138.602027,4,Major Cities of Australia,mapbox_api
121 Carrington Street,121,Carrington Street,ADELAIDE,5000,"121 Carrington Street, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.931505,138.604685,4,Major Cities of Australia,mapbox_api
489 Prospect Road,489,Prospect Road,ADELAIDE,5000,"489 Prospect Road, Blair Athol South Australia 5084, Australia",CITY OF ADELAIDE,-34.850451,138.591716,4,Major Cities of Australia,mapbox_api
495 Goodwood Road,495,Goodwood Road,ADELAIDE,5000,"495 Goodwood Road, Colonel Light Gardens South Australia 5041, Australia",CITY OF ADELAIDE,-34.980525,138.592331,4,Major Cities of Australia,mapbox_api
Palmer Place,636,Palmer Place,ADELAIDE,5000,"Palmer Place, North Adelaide South Australia 5006, Australia",CITY OF ADELAIDE,-34.910956,138.595093,4,Major Cities of Australia,mapbox_api
819 Marion Road,819,Marion Road,ADELAIDE,5000,"819 Marion Road, Mitchell Park South Australia 5043, Australia",CITY OF ADELAIDE,-34.999791,138.557817,4,Major Cities of Australia,mapbox_api
730 Grand Junction Road,730,Grand Junction Road,ADELAIDE,5000,"730 Grand Junction Road, Pennington South Australia 5013, Australia",CITY OF ADELAIDE,-34.851247,138.53371,4,Major Cities of Australia,mapbox_api
559 Portrush Road,559,Portrush Road,ADELAIDE,5000,"559 Portrush Road, Glenunga South Australia 5064, Australia",CITY OF ADELAIDE,-34.949541,138.642669,4,Major Cities of Australia,mapbox_api
865 Hindley Street,865,Hindley Street,ADELAIDE,5000,"865 Hindley Street, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.923481,138.589634,4,Major Cities of Australia,mapbox_api
307 Portrush Road,307,Portrush Road,ADELAIDE,5000,"307 Portrush Road, Norwood South Australia 5067, Australia",CITY OF ADELAIDE,-34.925052,138.641251,4,Major Cities of Australia,mapbox_api
788 South Terrace,788,South Terrace,ADELAIDE,5000,"788 South Terrace, Wingfield South Australia 5013, Australia",CITY OF ADELAIDE,-34.83948,138.549416,4,Major Cities of Australia,mapbox_api
63 Elizabeth Street,63,Elizabeth Street,ADELAIDE,5000,"63 Elizabeth Street, Prospect South Australia 5082, Australia",CITY OF ADELAIDE,-34.889509,138.583996,4,Major Cities of Australia,mapbox_api
802 Pirie Street,802,Pirie Street,ADELAIDE,5000,"802 Pirie Street, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.925152,138.611747,4,Major Cities of Australia,mapbox_api
20 Halifax Street,20,Halifax Street,ADELAIDE,5000,"20 Halifax Street, Hilton South Australia 5033, Australia",CITY OF ADELAIDE,-34.930833,138.564216,4,Major Cities of Australia,mapbox_api
349 Churchill Road,349,Churchill Road,ADELAIDE,5000,"349 Churchill Road, Kilburn South Australia 5084, Australia",CITY OF ADELAIDE,-34.86746,138.583992,4,Major Cities of Australia,mapbox_api
110 Victoria Street,110,Victoria Street,ADELAIDE,5000,"110 Victoria Street, Glandore South Australia 5037, Australia",CITY OF ADELAIDE,-34.962582,138.567302,4,Major Cities of Australia,mapbox_api
809 Goodwood Road,809,Goodwood Road,ADELAIDE,5000,"809 Goodwood Road, Cumberland Park South Australia 5041, Australia",CITY OF ADELAIDE,-34.970184,138.591058,4,Major Cities of Australia,mapbox_api
133 Hurtle Square,133,Hurtle Square,ADELAIDE,5000,"133 Hurtle Square, Adelaide South Australia 5000, Australia",CITY OF ADELAIDE,-34.933227,138.606423,4,Major Cities of Australia,mapbox_api
