Suburb,Postcode,Council,SocioEconomicStatus,Remoteness Level
SOMERTON PARK,5044,CITY OF HOLDFAST BAY,0,Major Cities of Australia
GLENELG,5045,CITY OF HOLDFAST BAY,0,Major Cities of Australia
GLENELG EAST,5045,CITY OF HOLDFAST BAY,0,Major Cities of Australia
GLENELG NORTH,5045,CITY OF HOLDFAST BAY,0,Major Cities of Australia
GLENELG SOUTH,5045,CITY OF HOLDFAST BAY,0,Major Cities of Australia
OAKLANDS PARK,5046,CITY OF MARION,0,Major Cities of Australia
DARLINGTON,5047,CITY OF MARION,0,Major Cities of Australia
SEACOMBE GARDENS,5047,CITY OF MARION,0,Major Cities of Australia
SEACOMBE HEIGHTS,5047,CITY OF MARION,0,Major Cities of Australia
STURT,5047,CITY OF MARION,0,Major Cities of Australia
BRIGHTON,5048,CITY OF HOLDFAST BAY,0,Major Cities of Australia
DOVER GARDENS,5048,CITY OF MARION,0,Major Cities of Australia
HOVE,5048,CITY OF HOLDFAST BAY,0,Major Cities of Australia
NORTH BRIGHTON,5048,CITY OF HOLDFAST BAY,0,Major Cities of Australia
SOUTH BRIGHTON,5048,CITY OF HOLDFAST BAY,0,Major Cities of Australia
KINGSTON PARK,5049,CITY OF HOLDFAST BAY,0,Major Cities of Australia
MARINO,5049,CITY OF MARION,0,Major Cities of Australia
SEACLIFF,5049,CITY OF HOLDFAST BAY,0,Major Cities of Australia
SEACLIFF PARK,5049,CITY OF MARION,0,Major Cities of Australia
SEAVIEW DOWNS,5049,CITY OF MARION,0,Major Cities of Australia
BRAHMA LODGE,5109,CITY OF SALISBURY,0,Major Cities of Australia
BELLEVUE HEIGHTS,5050,CITY OF MITCHAM,0,Major Cities of Australia
EDEN HILLS,5050,CITY OF MITCHAM,0,Major Cities of Australia
LYNTON,5062,CITY OF MITCHAM,0,Major Cities of Australia
HEATHPOOL,5068,THE CITY OF NORWOOD PAYNEHAM AND ST PETERS,0,Major Cities of Australia
BLACKWOOD,5051,CITY OF MITCHAM,0,Major Cities of Australia
COROMANDEL VALLEY,5051,CITY OF ONKAPARINGA,0,Major Cities of Australia
BELAIR,5052,CITY OF MITCHAM,0,Major Cities of Australia
GLENALTA,5052,CITY OF MITCHAM,0,Major Cities of Australia
GLENUNGA,5064,CITY OF BURNSIDE,0,Major Cities of Australia
KENSINGTON,5068,THE CITY OF NORWOOD PAYNEHAM AND ST PETERS,0,Major Cities of Australia
CRAIGBURN FARM,5051,CITY OF MITCHAM,0,Major Cities of Australia
HAWTHORNDENE,5051,CITY OF MITCHAM,0,Major Cities of Australia
HYDE PARK,5061,CITY OF UNLEY,0,Major Cities of Australia
MALVERN,5061,CITY OF UNLEY,0,Major Cities of Australia
UNLEY,5061,CITY OF UNLEY,0,Major Cities of Australia
UNLEY PARK,5061,CITY OF UNLEY,0,Major Cities of Australia
BROWN HILL CREEK,5062,CITY OF MITCHAM,0,Not Applicable
CLAPHAM,5062,CITY OF MITCHAM,0,Major Cities of Australia
HAWTHORN,5062,CITY OF MITCHAM,0,Major Cities of Australia
KINGSWOOD,5062,CITY OF MITCHAM,0,Major Cities of Australia
MITCHAM,5062,CITY OF MITCHAM,0,Major Cities of Australia
NETHERBY,5062,CITY OF MITCHAM,0,Major Cities of Australia
SPRINGFIELD,5062,CITY OF MITCHAM,0,Major Cities of Australia
TORRENS PARK,5062,CITY OF MITCHAM,0,Major Cities of Australia
EASTWOOD,5063,CITY OF BURNSIDE,0,Major Cities of Australia
FREWVILLE,5063,CITY OF BURNSIDE,0,Major Cities of Australia
FULLARTON,5063,CITY OF UNLEY,0,Major Cities of Australia
HIGHGATE,5063,CITY OF UNLEY,0,Major Cities of Australia
PARKSIDE,5063,CITY OF UNLEY,0,Major Cities of Australia
GLEN OSMOND,5064,CITY OF BURNSIDE,0,Major Cities of Australia
MOUNT OSMOND,5064,CITY OF BURNSIDE,0,Not Applicable
MYRTLE BANK,5064,CITY OF UNLEY,0,Major Cities of Australia
ST GEORGES,5064,CITY OF BURNSIDE,0,Major Cities of Australia
URRBRAE,5064,CITY OF MITCHAM,0,Major Cities of Australia
DULWICH,5065,CITY OF BURNSIDE,0,Major Cities of Australia
GLENSIDE,5065,CITY OF BURNSIDE,0,Major Cities of Australia
LINDEN PARK,5065,CITY OF BURNSIDE,0,Major Cities of Australia
TOORAK GARDENS,5065,CITY OF BURNSIDE,0,Major Cities of Australia
TUSMORE,5065,CITY OF BURNSIDE,0,Major Cities of Australia
BEAUMONT,5066,CITY OF BURNSIDE,0,Major Cities of Australia
BURNSIDE,5066,CITY OF BURNSIDE,0,Major Cities of Australia
ERINDALE,5066,CITY OF BURNSIDE,0,Major Cities of Australia
HAZELWOOD PARK,5066,CITY OF BURNSIDE,0,Major Cities of Australia
STONYFELL,5066,CITY OF BURNSIDE,0,Major Cities of Australia
WATERFALL GULLY,5066,CITY OF BURNSIDE,0,Major Cities of Australia
WATTLE PARK,5066,CITY OF BURNSIDE,0,Major Cities of Australia
BEULAH PARK,5067,CITY OF BURNSIDE,0,Major Cities of Australia
KENT TOWN,5067,THE CITY OF NORWOOD PAYNEHAM AND ST PETERS,0,Major Cities of Australia
NORWOOD,5067,THE CITY OF NORWOOD PAYNEHAM AND ST PETERS,0,Major Cities of Australia
ROSE PARK,5067,CITY OF BURNSIDE,0,Major Cities of Australia
SEAFORD RISE,5169,CITY OF ONKAPARINGA,0,Major Cities of Australia
KENSINGTON GARDENS,5068,CITY OF BURNSIDE,0,Major Cities of Australia
KENSINGTON PARK,5068,CITY OF BURNSIDE,0,Major Cities of Australia
LEABROOK,5068,CITY OF BURNSIDE,0,Major Cities of Australia
MARRYATVILLE,5068,THE CITY OF NORWOOD PAYNEHAM AND ST PETERS,0,Major Cities of Australia
ST MORRIS,5068,THE CITY OF NORWOOD PAYNEHAM AND ST PETERS,0,Major Cities of Australia
TRINITY GARDENS,5068,THE CITY OF NORWOOD PAYNEHAM AND ST PETERS,0,Major Cities of Australia
COLLEGE PARK,5069,THE CITY OF NORWOOD PAYNEHAM AND ST PETERS,0,Major Cities of Australia
EVANDALE,5069,THE CITY OF NORWOOD PAYNEHAM AND ST PETERS,0,Major Cities of Australia
HACKNEY,5069,THE CITY OF NORWOOD PAYNEHAM AND ST PETERS,0,Major Cities of Australia
MAYLANDS,5069,THE CITY OF NORWOOD PAYNEHAM AND ST PETERS,0,Major Cities of Australia
ST PETERS,5069,THE CITY OF NORWOOD PAYNEHAM AND ST PETERS,0,Major Cities of Australia
STEPNEY,5069,THE CITY OF NORWOOD PAYNEHAM AND ST PETERS,0,Major Cities of Australia
FELIXSTOW,5070,THE CITY OF NORWOOD PAYNEHAM AND ST PETERS,0,Major Cities of Australia
FIRLE,5070,THE CITY OF NORWOOD PAYNEHAM AND ST PETERS,0,Major Cities of Australia
GLYNDE,5070,THE CITY OF NORWOOD PAYNEHAM AND ST PETERS,0,Major Cities of Australia
JOSLIN,5070,THE CITY OF NORWOOD PAYNEHAM AND ST PETERS,0,Major Cities of Australia
TERINGIE,5072,ADELAIDE HILLS COUNCIL,0,Major Cities of Australia
MARDEN,5070,THE CITY OF NORWOOD PAYNEHAM AND ST PETERS,0,Major Cities of Australia
PAYNEHAM,5070,THE CITY OF NORWOOD PAYNEHAM AND ST PETERS,0,Major Cities of Australia
PAYNEHAM SOUTH,5070,THE CITY OF NORWOOD PAYNEHAM AND ST PETERS,0,Major Cities of Australia
ROYSTON PARK,5070,THE CITY OF NORWOOD PAYNEHAM AND ST PETERS,0,Major Cities of Australia
AULDANA,5072,CITY OF BURNSIDE,0,Major Cities of Australia
MAGILL,5072,CAMPBELLTOWN CITY COUNCIL,0,Major Cities of Australia
ROSSLYN PARK,5072,CITY OF BURNSIDE,0,Major Cities of Australia
SKYE,5072,CITY OF BURNSIDE,0,Major Cities of Australia
EDINBURGH,5111,CITY OF SALISBURY,0,Major Cities of Australia
WOODFORDE,5072,ADELAIDE HILLS COUNCIL,0,Major Cities of Australia
HECTORVILLE,5073,CAMPBELLTOWN CITY COUNCIL,0,Major Cities of Australia
ROSTREVOR,5073,CAMPBELLTOWN CITY COUNCIL,0,Major Cities of Australia
TRANMERE,5073,CAMPBELLTOWN CITY COUNCIL,0,Major Cities of Australia
CAMPBELLTOWN,5074,CAMPBELLTOWN CITY COUNCIL,0,Major Cities of Australia
NEWTON,5074,CAMPBELLTOWN CITY COUNCIL,0,Major Cities of Australia
CLEARVIEW,5085,CITY OF PORT ADELAIDE ENFIELD,0,Major Cities of Australia
DERNANCOURT,5075,CITY OF TEA TREE GULLY,0,Major Cities of Australia
CASTAMBUL,5076,ADELAIDE HILLS COUNCIL,0,Not Applicable
PARADISE,5075,CAMPBELLTOWN CITY COUNCIL,0,Major Cities of Australia
ATHELSTONE,5076,CAMPBELLTOWN CITY COUNCIL,0,Major Cities of Australia
COLLINSWOOD,5081,CITY OF PROSPECT,0,Major Cities of Australia
GILBERTON,5081,THE CORPORATION OF THE TOWN OF WALKERVILLE,0,Major Cities of Australia
MEDINDIE,5081,THE CORPORATION OF THE TOWN OF WALKERVILLE,0,Major Cities of Australia
MEDINDIE GARDENS,5081,CITY OF PROSPECT,0,Major Cities of Australia
VALE PARK,5081,THE CORPORATION OF THE TOWN OF WALKERVILLE,0,Major Cities of Australia
WALKERVILLE,5081,THE CORPORATION OF THE TOWN OF WALKERVILLE,0,Major Cities of Australia
FITZROY,5082,CITY OF PROSPECT,0,Major Cities of Australia
OVINGHAM,5082,CITY OF CHARLES STURT,0,Major Cities of Australia
ELIZABETH,5112,CITY OF PLAYFORD,0,Major Cities of Australia
PROSPECT,5082,CITY OF PROSPECT,0,Major Cities of Australia
THORNGATE,5082,CITY OF PROSPECT,0,Not Applicable
BROADVIEW,5083,CITY OF PORT ADELAIDE ENFIELD,0,Major Cities of Australia
NAILSWORTH,5083,CITY OF PROSPECT,0,Major Cities of Australia
SEFTON PARK,5083,CITY OF PORT ADELAIDE ENFIELD,0,Major Cities of Australia
BLAIR ATHOL,5084,CITY OF PORT ADELAIDE ENFIELD,0,Major Cities of Australia
KILBURN,5084,CITY OF PORT ADELAIDE ENFIELD,0,Major Cities of Australia
ALDINGA,5173,CITY OF ONKAPARINGA,0,Major Cities of Australia
ENFIELD,5085,CITY OF PORT ADELAIDE ENFIELD,0,Major Cities of Australia
LIGHTSVIEW,5085,CITY OF PORT ADELAIDE ENFIELD,0,Major Cities of Australia
NORTHFIELD,5085,CITY OF PORT ADELAIDE ENFIELD,0,Major Cities of Australia
NORTHGATE,5085,CITY OF PORT ADELAIDE ENFIELD,0,Major Cities of Australia
GILLES PLAINS,5086,CITY OF PORT ADELAIDE ENFIELD,0,Major Cities of Australia
GREENACRES,5086,CITY OF PORT ADELAIDE ENFIELD,0,Major Cities of Australia
HAMPSTEAD GARDENS,5086,CITY OF PORT ADELAIDE ENFIELD,0,Major Cities of Australia
HILLCREST,5086,CITY OF PORT ADELAIDE ENFIELD,0,Major Cities of Australia
MANNINGHAM,5086,CITY OF PORT ADELAIDE ENFIELD,0,Major Cities of Australia
OAKDEN,5086,CITY OF PORT ADELAIDE ENFIELD,0,Major Cities of Australia
VISTA,5091,CITY OF TEA TREE GULLY,0,Major Cities of Australia
KLEMZIG,5087,CITY OF PORT ADELAIDE ENFIELD,0,Major Cities of Australia
WINDSOR GARDENS,5087,CITY OF PORT ADELAIDE ENFIELD,0,Major Cities of Australia
HOLDEN HILL,5088,CITY OF TEA TREE GULLY,0,Major Cities of Australia
MODBURY,5092,CITY OF TEA TREE GULLY,0,Major Cities of Australia
MODBURY HEIGHTS,5092,CITY OF TEA TREE GULLY,0,Major Cities of Australia
HIGHBURY,5089,CITY OF TEA TREE GULLY,0,Major Cities of Australia
HOPE VALLEY,5090,CITY OF TEA TREE GULLY,0,Major Cities of Australia
BANKSIA PARK,5091,CITY OF TEA TREE GULLY,0,Major Cities of Australia
TEA TREE GULLY,5091,CITY OF TEA TREE GULLY,0,Major Cities of Australia
ELIZABETH EAST,5112,CITY OF PLAYFORD,0,Major Cities of Australia
MODBURY NORTH,5092,CITY OF TEA TREE GULLY,0,Major Cities of Australia
PARA VISTA,5093,CITY OF SALISBURY,0,Major Cities of Australia
VALLEY VIEW,5093,CITY OF SALISBURY,0,Major Cities of Australia
CAVAN,5094,CITY OF SALISBURY,0,Not Applicable
DRY CREEK,5094,CITY OF SALISBURY,0,Major Cities of Australia
GEPPS CROSS,5094,CITY OF PORT ADELAIDE ENFIELD,0,Major Cities of Australia
MAWSON LAKES,5095,CITY OF SALISBURY,0,Major Cities of Australia
POORAKA,5095,CITY OF SALISBURY,0,Major Cities of Australia
GULFVIEW HEIGHTS,5096,CITY OF SALISBURY,0,Major Cities of Australia
PARA HILLS,5096,CITY OF SALISBURY,0,Major Cities of Australia
PARA HILLS WEST,5096,CITY OF SALISBURY,0,Major Cities of Australia
REDWOOD PARK,5097,CITY OF TEA TREE GULLY,0,Major Cities of Australia
RIDGEHAVEN,5097,CITY OF TEA TREE GULLY,0,Major Cities of Australia
ST AGNES,5097,CITY OF TEA TREE GULLY,0,Major Cities of Australia
ELIZABETH GROVE,5112,CITY OF PLAYFORD,0,Major Cities of Australia
INGLE FARM,5098,CITY OF SALISBURY,0,Major Cities of Australia
WALKLEY HEIGHTS,5098,CITY OF SALISBURY,0,Major Cities of Australia
PARAFIELD,5106,CITY OF SALISBURY,0,Major Cities of Australia
SALISBURY SOUTH,5106,CITY OF SALISBURY,0,Major Cities of Australia
GREEN FIELDS,5107,CITY OF SALISBURY,0,Major Cities of Australia
PARAFIELD GARDENS,5107,CITY OF SALISBURY,0,Major Cities of Australia
SALISBURY DOWNS,5108,CITY OF SALISBURY,0,Major Cities of Australia
PICCADILLY,5151,ADELAIDE HILLS COUNCIL,0,Major Cities of Australia
PARALOWIE,5108,CITY OF SALISBURY,0,Major Cities of Australia
SALISBURY,5108,CITY OF SALISBURY,0,Major Cities of Australia
SALISBURY NORTH,5108,CITY OF SALISBURY,0,Major Cities of Australia
SALISBURY EAST,5109,CITY OF SALISBURY,0,Major Cities of Australia
SALISBURY HEIGHTS,5109,CITY OF SALISBURY,0,Major Cities of Australia
SALISBURY PARK,5109,CITY OF SALISBURY,0,Major Cities of Australia
SALISBURY PLAIN,5109,CITY OF SALISBURY,0,Major Cities of Australia
ELIZABETH SOUTH,5112,CITY OF PLAYFORD,0,Major Cities of Australia
MOUNT CHARLES,5267,TATIARA DC,0,Not Applicable
BOLIVAR,5110,CITY OF SALISBURY,0,Major Cities of Australia
BURTON,5110,CITY OF SALISBURY,0,Major Cities of Australia
DIREK,5110,CITY OF SALISBURY,0,Major Cities of Australia
GLOBE DERBY PARK,5110,CITY OF SALISBURY,0,Major Cities of Australia
ELIZABETH VALE,5112,CITY OF PLAYFORD,0,Major Cities of Australia
HAY VALLEY,5252,MOUNT BARKER DISTRICT COUNCIL,0,Not Applicable
ST KILDA,5110,CITY OF SALISBURY,0,Not Applicable
WATERLOO CORNER,5110,CITY OF PLAYFORD,0,Major Cities of Australia
HILLBANK,5112,CITY OF PLAYFORD,0,Major Cities of Australia
DAVOREN PARK,5113,CITY OF PLAYFORD,0,Major Cities of Australia
EDINBURGH NORTH,5113,CITY OF PLAYFORD,0,Major Cities of Australia
ELIZABETH DOWNS,5113,CITY OF PLAYFORD,0,Major Cities of Australia
ELIZABETH NORTH,5113,CITY OF PLAYFORD,0,Major Cities of Australia
ELIZABETH PARK,5113,CITY OF PLAYFORD,0,Major Cities of Australia
ANDREWS FARM,5114,CITY OF PLAYFORD,0,Major Cities of Australia
BLAKEVIEW,5114,CITY OF PLAYFORD,0,Major Cities of Australia
CRAIGMORE,5114,CITY OF PLAYFORD,0,Major Cities of Australia
GOULD CREEK,5114,CITY OF TEA TREE GULLY,0,Major Cities of Australia
HUMBUG SCRUB,5114,CITY OF PLAYFORD,0,Inner Regional Australia
ONE TREE HILL,5114,CITY OF PLAYFORD,0,Major Cities of Australia
SAMPSON FLAT,5114,CITY OF PLAYFORD,0,Not Applicable
SMITHFIELD,5114,CITY OF PLAYFORD,0,Major Cities of Australia
SMITHFIELD PLAINS,5114,CITY OF PLAYFORD,0,Major Cities of Australia
